Court Advantage, Opponent, W/L, MIN, PTS, FGM, FGA, FG%, 3PM, 3PA, 3P%, FTM, FTA, FT%, OREB, DREB, REB, AST, STL, BLK, TOV, PF, PM
Away,PHI,L,37,30,11,27,40.7,6,13,46.2,2,3,66.7,0,3,3,2,1,1,3,0,-15
Away,MEM,W,34,21,5,15,33.3,1,4,25.0,10,10,100,0,3,3,4,0,0,2,1,-1
Home,SAC,W,34,22,8,18,44.4,1,7,14.3,5,6,83.3,1,1,2,6,1,1,2,1,20
Away,SAC,L,37,29,9,24,37.5,5,14,35.7,6,6,100,0,1,1,4,1,1,1,0,8
Home,ORL,W,37,26,9,21,42.9,5,10,50.0,3,4,75.0,1,10,11,7,0,0,2,1,8
Home,DEN,W,34,15,4,14,28.6,2,8,25.0,5,5,100,1,4,5,7,4,0,4,1,4
Home,BKN,L,36,19,7,16,43.8,1,5,20.0,4,5,80.0,2,7,9,6,0,0,2,1,-12
Home,MEM,L,34,12,4,16,25.0,0,5,0.0,4,4,100,1,4,5,6,1,0,5,2,-10
Home,OKC,W,37,36,10,18,55.6,1,5,20.0,15,15,100,1,4,5,13,0,1,2,2,14
Home,LAL,W,39,32,8,18,44.4,2,6,33.3,14,14,100,2,4,6,5,0,0,2,2,6
Away,UTA,L,43,33,12,27,44.4,4,15,26.7,5,5,100,2,8,10,8,2,1,5,3,1
Home,TOR,L,41,36,12,23,52.2,3,8,37.5,9,10,90.0,1,1,2,2,2,1,6,0,-7
Home,PHX,W,36,25,7,21,33.3,3,8,37.5,8,9,88.9,3,4,7,9,1,0,2,2,2
Home,LAC,L,38,25,7,19,36.8,4,9,44.4,7,7,100,0,2,2,6,0,0,1,3,1
Home,NOP,W,35,13,3,16,18.8,1,8,12.5,6,9,66.7,1,4,5,7,1,0,6,0,3
Away,MIL,L,34,26,6,15,40.0,3,6,50.0,11,12,91.7,2,3,5,4,4,0,6,5,-5
Away,IND,W,33,18,7,17,41.2,0,3,0.0,4,4,100,0,7,7,7,1,1,0,2,25
Away,PHX,W,30,27,10,20,50.0,4,6,66.7,3,3,100,3,2,5,5,1,3,0,1,34
